category,price,date
Uncategorized Items,4,2020-11-04T10:36:15.000Z
Lifestyle,18,2020-11-04T11:42:52.000Z
Lifestyle,18,2020-11-04T11:47:35.000Z
Lifestyle,18,2020-11-04T11:49:47.000Z
Lifestyle,18,2020-11-04T12:00:10.000Z
New,2,2020-11-04T12:04:15.000Z
Lifestyle,16,2020-11-04T12:04:15.000Z
Apparel,18,2020-11-04T12:04:15.000Z
New,15,2020-11-04T12:04:15.000Z
Lifestyle,18,2020-11-04T12:08:36.000Z
Lifestyle,18,2020-11-04T12:10:06.000Z
Lifestyle,16,2020-11-04T12:10:06.000Z
Google,3,2020-11-04T12:10:06.000Z
New,12,2020-11-04T12:10:06.000Z
Lifestyle,18,2020-11-04T12:12:14.000Z
Stationery,1,2020-11-04T12:23:27.000Z
Apparel,20,2020-11-04T12:23:27.000Z
New,12,2020-11-04T12:23:27.000Z
Apparel,10,2020-11-04T12:26:49.000Z
Stationery,6,2020-11-04T12:26:49.000Z
Writing Instruments,14,2020-11-04T12:26:49.000Z
Lifestyle,18,2020-11-04T12:28:16.000Z
Writing Instruments,14,2020-11-04T12:30:31.000Z
Apparel,10,2020-11-04T12:30:31.000Z
Stationery,6,2020-11-04T12:30:31.000Z
Lifestyle,18,2020-11-04T12:30:51.000Z
Office,15,2020-11-04T12:33:54.000Z
Apparel,14,2020-11-04T12:33:54.000Z
Stationery,1,2020-11-04T12:33:54.000Z
Lifestyle,18,2020-11-04T12:40:03.000Z
Lifestyle,18,2020-11-04T12:50:09.000Z
Lifestyle,18,2020-11-04T13:21:19.000Z
Lifestyle,18,2020-11-04T13:23:13.000Z
Apparel,63,2020-11-04T13:26:14.000Z
Lifestyle,18,2020-11-04T13:31:17.000Z
Campus Collection,14,2020-11-04T13:36:00.000Z
Office,6,2020-11-04T13:36:00.000Z
Office,3,2020-11-04T13:36:00.000Z
Bags,6,2020-11-04T13:36:00.000Z
Campus Collection,11,2020-11-04T13:36:00.000Z
Apparel,20,2020-11-04T13:36:00.000Z
New,8,2020-11-04T14:16:35.000Z
Apparel,48,2020-11-04T14:16:35.000Z
Shop by Brand,25,2020-11-04T14:16:35.000Z
Bags,58,2020-11-04T14:16:35.000Z
Campus Collection,14,2020-11-04T17:33:18.000Z
Clearance,14,2020-11-04T17:33:18.000Z
Clearance,14,2020-11-04T17:33:18.000Z
Campus Collection,14,2020-11-04T17:33:18.000Z
Apparel,18,2020-11-04T19:39:16.000Z
Apparel,19,2020-11-04T19:39:16.000Z
Uncategorized Items,18,2020-11-04T19:52:48.000Z
Notebooks & Journals,5,2020-11-04T19:52:48.000Z
Accessories,6,2020-11-04T19:53:57.000Z
Shop by Brand,30,2020-11-04T19:53:57.000Z
Apparel,16,2020-11-04T19:53:57.000Z
Apparel,13,2020-11-04T19:53:57.000Z
Apparel,48,2020-11-04T20:59:17.000Z
Apparel,48,2020-11-04T21:35:30.000Z
Office,3,2020-11-04T23:28:18.000Z
Shop by Brand,1,2020-11-04T23:28:18.000Z
Uncategorized Items,3,2020-11-04T23:28:18.000Z
Uncategorized Items,3,2020-11-04T23:28:18.000Z
Apparel,14,2020-11-04T23:28:18.000Z
Apparel,19,2020-11-04T23:28:18.000Z
Uncategorized Items,4,2020-11-04T23:28:18.000Z
Drinkware,18,2020-11-04T23:28:18.000Z
Apparel,55,2020-11-04T23:49:29.000Z
Apparel,29,2020-11-05T00:34:27.000Z
Shop by Brand,1,2020-11-05T01:30:05.000Z
Bags,28,2020-11-05T01:30:05.000Z
Apparel,63,2020-11-05T01:30:20.000Z
Office,3,2020-11-05T01:34:00.000Z
Campus Collection,7,2020-11-05T01:34:00.000Z
Accessories,8,2020-11-05T01:34:00.000Z
New,15,2020-11-05T01:34:00.000Z
Apparel,18,2020-11-05T01:34:00.000Z
New,12,2020-11-05T01:34:00.000Z
Apparel,19,2020-11-05T01:34:00.000Z
Campus Collection,7,2020-11-05T01:34:00.000Z
Clearance,9,2020-11-05T04:11:40.000Z
Campus Collection,8,2020-11-05T04:11:40.000Z
Bags,6,2020-11-05T04:11:40.000Z
Shop by Brand,2,2020-11-05T04:11:40.000Z
Shop by Brand,2,2020-11-05T04:11:40.000Z
Office,3,2020-11-05T04:11:40.000Z
Clearance,9,2020-11-05T04:11:40.000Z
Campus Collection,3,2020-11-05T04:11:40.000Z
Bags,6,2020-11-05T04:11:40.000Z
Bags,6,2020-11-05T04:11:40.000Z
Accessories,3,2020-11-05T05:21:25.000Z
Apparel,18,2020-11-05T06:47:38.000Z
Apparel,48,2020-11-05T07:03:26.000Z
Clearance,32,2020-11-05T07:44:05.000Z
New,10,2020-11-05T09:13:18.000Z
Apparel,16,2020-11-05T09:13:18.000Z
Apparel,14,2020-11-05T09:13:18.000Z
New,12,2020-11-05T09:13:18.000Z
New,15,2020-11-05T09:53:34.000Z
Clearance,14,2020-11-05T09:53:34.000Z
Small Goods,3,2020-11-05T09:53:34.000Z
Apparel,19,2020-11-05T09:53:34.000Z
Accessories,4,2020-11-05T09:53:34.000Z
Campus Collection,14,2020-11-05T09:53:34.000Z
Apparel,92,2020-11-05T11:49:31.000Z
Office,1,2020-11-05T12:56:10.000Z
Lifestyle,13,2020-11-05T12:56:10.000Z
Small Goods,4,2020-11-05T12:56:10.000Z
New,2,2020-11-05T12:56:10.000Z
Bags,10,2020-11-05T12:56:10.000Z
Accessories,6,2020-11-05T12:56:10.000Z
Drinkware,10,2020-11-05T12:56:10.000Z
Apparel,46,2020-11-05T13:04:43.000Z
Stationery,1,2020-11-05T14:08:46.000Z
Campus Collection,11,2020-11-05T14:08:46.000Z
New,1,2020-11-05T14:08:46.000Z
Bags,30,2020-11-05T14:08:46.000Z
Bags,70,2020-11-05T15:32:32.000Z
Uncategorized Items,22,2020-11-05T15:55:13.000Z
Uncategorized Items,18,2020-11-05T15:55:13.000Z
Google,3,2020-11-05T16:36:11.000Z
Small Goods,4,2020-11-05T16:36:11.000Z
Accessories,7,2020-11-05T16:36:11.000Z
Small Goods,8,2020-11-05T16:36:11.000Z
Clearance,16,2020-11-05T17:32:18.000Z
Office,2,2020-11-05T17:32:18.000Z
Accessories,8,2020-11-05T17:41:41.000Z
Bags,8,2020-11-05T17:41:41.000Z
Uncategorized Items,22,2020-11-05T17:41:41.000Z
Apparel,14,2020-11-05T17:41:41.000Z
Stationery,12,2020-11-05T17:41:41.000Z
Clearance,8,2020-11-05T17:41:41.000Z
New,12,2020-11-05T17:41:41.000Z
Uncategorized Items,18,2020-11-05T17:41:41.000Z
Apparel,14,2020-11-05T17:41:41.000Z
Stationery,1,2020-11-05T17:41:41.000Z
Clearance,16,2020-11-05T17:41:41.000Z
Lifestyle,14,2020-11-05T17:41:41.000Z
New,8,2020-11-05T17:41:41.000Z
Apparel,13,2020-11-05T18:02:19.000Z
Apparel,14,2020-11-05T18:02:19.000Z
New,13,2020-11-05T18:33:59.000Z
Apparel,14,2020-11-05T18:33:59.000Z
Apparel,14,2020-11-05T18:33:59.000Z
Apparel,14,2020-11-05T18:33:59.000Z
Campus Collection,14,2020-11-05T19:58:09.000Z
Campus Collection,6,2020-11-05T19:58:09.000Z
Campus Collection,32,2020-11-05T19:58:09.000Z
Campus Collection,14,2020-11-05T20:12:08.000Z
Lifestyle,13,2020-11-05T20:12:08.000Z
Uncategorized Items,22,2020-11-05T20:12:08.000Z
Campus Collection,7,2020-11-05T20:12:08.000Z
New,16,2020-11-05T20:12:08.000Z
Apparel,24,2020-11-05T20:12:08.000Z
Uncategorized Items,4,2020-11-05T20:16:59.000Z
New,2,2020-11-05T20:16:59.000Z
Accessories,3,2020-11-05T20:16:59.000Z
Uncategorized Items,3,2020-11-05T20:16:59.000Z
Lifestyle,14,2020-11-05T20:16:59.000Z
Uncategorized Items,3,2020-11-05T20:16:59.000Z
